STATE,Timing
AL,Off-Year
AK,Off-Year
AZ,Off-Year
AR,Off-Year
CA,Off-Year
CO,Off-Year
CT,Off-Year
DE,On-Year
FL,Off-Year
GA,Off-Year
HI,Off-Year
ID,Off-Year
IL,Off-Year
IN,On-Year
IA,Off-Year
KS,Off-Year
KY,Off-Year
LA,Off-Year
ME,Off-Year
MD,Off-Year
MA,Off-Year
MI,Off-Year
MN,Off-Year
MS,Off-Year
MO,On-Year
MT,On-Year
NE,Off-Year
NV,Off-Year
NH,Both
NJ,Off-Year
NM,Off-Year
NY,Off-Year
NC,On-Year
ND,On-Year
OH,Off-Year
OK,Off-Year
OR,Off-Year
PA,Off-Year
RI,Off-Year
SC,Off-Year
SD,Off-Year
TN,Off-Year
TX,Off-Year
UT,On-Year
VT,Both
VA,Off-Year
WA,On-Year
WV,On-Year
WI,Off-Year
WY,Off-Year
