STATE,Democrat,Republican,Other
AL,"849,624","1,441,170","32,488"
AK,"153,778","189,951","15,801"
AZ,"1,672,143","1,661,686","53,497"
AR,"423,932","760,647","34,490"
CA,"11,110,250","6,006,518","384,223"
CO,"1,804,352","1,364,607","88,021"
CT,"1,080,831","714,717","28,309"
DE,"296,268","200,603","7,475"
DC,"317,323","18,586","8,447"
FL,"5,297,045","5,668,731","101,680"
GA,"2,473,633","2,461,854","64,473"
HI,"366,130","196,864","11,475"
ID,"287,021","554,119","26,794"
IL,"3,471,915","2,446,891","114,938"
IN,"1,242,498","1,729,857","60,855"
IA,"759,061","897,672","34,138"
KS,"570,323","771,406","32,257"
KY,"772,474","1,326,646","37,648"
LA,"856,034","1,255,776","36,252"
ME*,"435,072","360,737","23,652"
MD,"1,985,023","976,414","75,593"
MA,"2,382,202","1,167,202","81,998"
MI,"2,804,040","2,649,852","85,410"
MN,"1,717,077","1,484,065","76,029"
MS,"539,398","756,764","17,597"
MO,"1,253,014","1,718,736","54,212"
MT,"244,786","343,602","15,286"
NE*,"374,583","556,846","24,954"
NV,"703,486","669,890","32,000"
NH,"424,937","365,660","15,608"
NJ,"2,608,400","1,883,313","57,744"
NM,"501,614","401,894","20,457"
NY,"5,244,886","3,251,997","119,978"
NC,"2,684,292","2,758,775","81,737"
ND,"115,042","235,751","11,231"
OH,"2,679,165","3,154,834","88,203"
OK,"503,890","1,020,280","36,529"
OR,"1,340,383","958,448","75,490"
PA,"3,458,229","3,377,674","101,073"
RI,"307,486","199,922","10,349"
SC,"1,091,541","1,385,103","36,685"
SD,"150,471","261,043","11,095"
TN,"1,143,711","1,852,475","57,665"
TX,"5,259,126","5,890,347","165,583"
UT,"560,282","865,140","62,867"
VT,"242,820","112,704","11,904"
VA,"2,413,568","1,962,430","84,526"
WA,"2,369,612","1,584,651","133,368"
WV,"235,984","545,382","13,365"
WI,"1,630,866","1,610,184","56,991"
WY,"73,491","193,559","9,715"
